IČO organizace:2;Název organizace:;Právní forma:;Velikostní kategorie:;Adresa:;Kraj:;Okres:;Obec:;Datum vzniku:;Rok vzniku:;Instituce v likvidaci:;Činnost:;Obor:;Nadační kapitál:;Statutární orgán:;Zakladatel:;Počet pobočných spolků:;Popis účelu:;Živnostenské oprávnění:;X:;Y:;GlobalID;x;y
443174;Českomoravská myslivecká jednota, z.s.;Spolek;6 - 9 zaměstnanců;Praha, 11000, Nové Město (Praha 1), Jungmannova 32/25;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Rybářství a myslivost;Myslivost a rybářství;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,422";"50,082";55340e39-d221-4482-8852-3ac6a8236e2a;"14,422";"50,082"
443182;Český zahrádkářský svaz, z. s.;Spolek;10 - 19 zaměstnanců;Praha, 13000, Žižkov (Praha 3), Rokycanova 318/15;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,455";"50,085";e19febb4-d491-43d8-9484-71af183944e7;"14,455";"50,085"
443191;Český rybářský svaz, z. s.;Spolek;25 - 49 zaměstnanců;Praha, 10000, Vinohrady (Praha 10), Nad olšinami 282/31;Hlavní město Praha;Praha;Praha;21/06/1990;"1 990";aktivní;Rybářství a myslivost;Myslivost a rybářství;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,485";"50,075";fde62cf6-8060-40a9-be70-47709601d12a;"14,485";"50,075"
443204;Český svaz chovatelů, z. s.;Spolek;25 - 49 zaměstnanců;Praha, 18200, Kobylisy, Maškova 1646/3;Hlavní město Praha;Praha;Praha;01/01/1981;"1 981";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,449";"50,132";76de2fe0-3e53-4c80-ade6-2c6ae0b7e52a;"14,449";"50,132"
443239;Český svaz včelařů, z.s.;Spolek;20 - 24 zaměstnanci;Praha, 11000, Nové Město (Praha 1), Křemencova 177/8;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,418";"50,078";665b4d9d-08b7-438f-8577-f07117ef0b07;"14,418";"50,078"
443247;Česká asociace rusistů, z. s.;Spolek;Neuvedeno;Praha, 17000, Holešovice (Praha 7), V závětří 1036/4;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Služby profesních organizací;Profesní organizace;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,443";"50,111";464268d3-11f9-48b5-9332-8eb0a7c2032b;"14,443";"50,111"
443271;Kostnická jednota-Sdružení evangelických křesťanů, z.s.;Spolek;1 - 5 zaměstnanců;Praha, 11000, Nové Město (Praha 1), Soukenická 1193/15;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;NÁBOŽENSTVÍ;Náboženství a církve;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,423";"50,076";2ac7f3d9-6821-4ae3-a7ae-d9414fe41e2f;"14,423";"50,076"
443301;Sirotčí, vdovský a podpůrný spolek členů Národního divadla;Spolek;Neuvedeno;Praha, PSČ 110 00;Hlavní město Praha;Praha;Praha;29/01/1991;"1 991";aktivní;Ochrana lidských práv;Politika;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,426";"50,085";ecc4e893-198c-442a-837b-0c5878ac717a;"14,426";"50,085"
443310;I. Sbor vojenských záložníků Československé republiky;Spolek;Neuvedeno;Praha, 11000, Staré Město, Náprstkova 213/5;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,416";"50,084";cc5a9932-22ba-4cdb-bb7f-64bf0e01dbfc;"14,416";"50,084"
443387;Česká matice technická;Spolek;Neuvedeno;Praha, 16000, Dejvice, Technická 1902/4;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,392";"50,102";4b5e8700-ba10-4a03-9835-ddadb579a270;"14,392";"50,102"
443395;SPOLEK ČESKÝCH BIBLIOFILŮ;Spolek;Neuvedeno;Praha, 17000, Holešovice (Praha 7), Jateční 1225/25;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,434";"50,084";b9a25f72-715c-43ee-8c5f-260e3b645a51;"14,434";"50,084"
443441;Společnost bratří Čapků, spolek;Spolek;Neuvedeno;Praha, 11000, Staré Město, Mariánské náměstí 98/1;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,417";"50,087";df08946a-6c02-4cd1-a4e8-d71f099044e7;"14,417";"50,087"
443492;MOZARTOVA OBEC;Pobočný spolek;Neuvedeno;Praha 5, Mozartova 169;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Umění;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,396";"50,071";52c55712-458d-427e-a556-94a0fe9bfa94;"14,396";"50,071"
443514;Heroldův klub, spolek pro amatérské pěstování komorní hudby, z.s.;Spolek;Neuvedeno;Praha, 16000, Dejvice, Glinkova 1658/12;Hlavní město Praha;Praha;Praha;31/12/1976;"1 976";aktivní;Umění;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,423";"50,021";c562b995-5d48-4e68-a9f1-57887992e73b;"14,423";"50,021"
